# EKSTRA FİYATLAR
# Format: ÜRÜN_ID | EKSTRA_TİPİ | EKSTRA_ID | EKSTRA_ADI | FİYAT
# EKSTRA_TİPİ: option, mainProduct, sideProduct, menuOption, potatoOption, drinkOption
# Fiyatı değiştirmek için sadece sayıyı değiştirin

p1 | option | o1 | Small (1 Kişilik) | 0
p1 | option | o2 | Medium (1-2 Kişilik) | 70
p1 | option | o3 | Large (2-3 Kişilik) | 140
p1 | option | o4 | XLarge (3-4 Kişilik) | 210
p2 | option | o5 | Small (1 Kişilik) | 0
p2 | option | o6 | Medium (1-2 Kişilik) | 70
p2 | option | o7 | Large (2-3 Kişilik) | 140
p2 | option | o8 | XLarge (3-4 Kişilik) | 210
p3 | option | o9 | Small (1 Kişilik) | 0
p3 | option | o10 | Medium (1-2 Kişilik) | 70
p3 | option | o11 | Large (2-3 Kişilik) | 140
p3 | option | o12 | XLarge (3-4 Kişilik) | 210
p4 | option | o13 | Small (1 Kişilik) | 0
p4 | option | o14 | Medium (1-2 Kişilik) | 70
p4 | option | o15 | Large (2-3 Kişilik) | 140
p4 | option | o16 | XLarge (3-4 Kişilik) | 210
p5 | option | o17 | Small (1 Kişilik) | 0
p5 | option | o18 | Medium (1-2 Kişilik) | 70
p5 | option | o19 | Large (2-3 Kişilik) | 140
p5 | option | o20 | XLarge (3-4 Kişilik) | 210
p6 | option | o21 | Small (1 Kişilik) | 0
p6 | option | o22 | Medium (1-2 Kişilik) | 70
p6 | option | o23 | Large (2-3 Kişilik) | 140
p6 | option | o24 | XLarge (3-4 Kişilik) | 210
p7 | option | o25 | Small (1 Kişilik) | 0
p7 | option | o26 | Medium (1-2 Kişilik) | 70
p7 | option | o27 | Large (2-3 Kişilik) | 140
p7 | option | o28 | XLarge (3-4 Kişilik) | 210
p8 | option | o29 | Small (1 Kişilik) | 0
p8 | option | o30 | Medium (1-2 Kişilik) | 70
p8 | option | o31 | Large (2-3 Kişilik) | 140
p8 | option | o32 | XLarge (3-4 Kişilik) | 210
p9 | option | o33 | Small (1 Kişilik) | 0
p9 | option | o34 | Medium (1-2 Kişilik) | 70
p9 | option | o35 | Large (2-3 Kişilik) | 140
p9 | option | o36 | XLarge (3-4 Kişilik) | 210
p10 | option | o37 | Small (1 Kişilik) | 0
p10 | option | o38 | Medium (1-2 Kişilik) | 70
p10 | option | o39 | Large (2-3 Kişilik) | 140
p10 | option | o40 | XLarge (3-4 Kişilik) | 210
p11 | option | o41 | Small (1 Kişilik) | 0
p11 | option | o42 | Medium (1-2 Kişilik) | 70
p11 | option | o43 | Large (2-3 Kişilik) | 140
p11 | option | o44 | XLarge (3-4 Kişilik) | 210
p12 | option | o45 | Small (1 Kişilik) | 0
p12 | option | o46 | Medium (1-2 Kişilik) | 70
p12 | option | o47 | Large (2-3 Kişilik) | 140
p12 | option | o48 | XLarge (3-4 Kişilik) | 210
p13 | option | o49 | Small (1 Kişilik) | 0
p13 | option | o50 | Medium (1-2 Kişilik) | 70
p13 | option | o51 | Large (2-3 Kişilik) | 140
p13 | option | o52 | XLarge (3-4 Kişilik) | 210
t1 | option | t1_o1 | Sade Tost | 0
t1 | option | t1_o2 | Menü (Cips + İçecek) | 80
t2 | option | t2_o1 | Sade Tost | 0
t2 | option | t2_o2 | Menü (Cips + İçecek) | 80
t3 | option | t3_o1 | Sade Tost | 0
t3 | option | t3_o2 | Menü (Cips + İçecek) | 80
t4 | option | t4_o1 | Sade Tost | 0
t4 | option | t4_o2 | Menü (Cips + İçecek) | 80
t5 | option | t5_o1 | Sade Tost | 0
t5 | option | t5_o2 | Menü (Cips + İçecek) | 80
t6 | option | t6_o1 | Sade Tost | 0
t6 | option | t6_o2 | Menü (Cips + İçecek) | 80
t7 | option | t7_o1 | Sade Tost | 0
t7 | option | t7_o2 | Menü (Cips + İçecek) | 80
t8 | option | t8_o1 | Sade Tost | 0
t8 | option | t8_o2 | Menü (Cips + İçecek) | 80
t9 | option | t9_o1 | Sade Tost | 0
t9 | option | t9_o2 | Menü (Cips + İçecek) | 80
t10 | option | t10_o1 | Sade Tost | 0
t10 | option | t10_o2 | Menü (Cips + İçecek) | 80
t11 | option | t11_o1 | Sade Tost | 0
t11 | option | t11_o2 | Menü (Cips + İçecek) | 80
t12 | option | t12_o1 | Sade Tost | 0
t12 | option | t12_o2 | Menü (Cips + İçecek) | 80
t13 | option | t13_o1 | Sade Tost | 0
t13 | option | t13_o2 | Menü (Cips + İçecek) | 80
t14 | option | t14_o1 | Sade Tost | 0
t14 | option | t14_o2 | Menü (Cips + İçecek) | 80
s1 | option | s1_o1 | Menü (Cips + İçecek) | 80
s1 | mainProduct | main1 | Ton Balığı | 0
s1 | mainProduct | main2 | Beyaz Peynir | 0
s1 | mainProduct | main3 | Ezine | 0
s1 | mainProduct | main4 | Salam | 0
s1 | mainProduct | main5 | Jambon | 0
s1 | sideProduct | side1 | Siyah Zeytin | 0
s1 | sideProduct | side2 | Mısır | 0
s1 | sideProduct | side3 | Domates | 0
s1 | sideProduct | side4 | Turşu | 0
s1 | sideProduct | side5 | Jalepeno Biber | 0
s1 | sideProduct | side6 | Yeşil Biber | 0
s1 | sideProduct | side7 | Rus Salatası | 0
cd1 | option | cd1_o1 | Dürüm | 0
cd1 | option | cd1_o2 | Gobit Ekmeği | 0
cd1 | option | cd1_o3 | Taş Fırın Ekmeği | 0
cd1 | option | cd1_o4 | Ayvalık Tost Ekmeği | 0
cd1 | menuOption | menu1 | Menü (Cips + Ayran) | 60
cd1 | menuOption | kola1 | Kutu Kola Farkı | 20
cd9 | option | cd9_o1 | Dürüm | 0
cd9 | option | cd9_o2 | Gobit Ekmeği | 0
cd9 | option | cd9_o3 | Taş Fırın Ekmeği | 0
